"year","language","source_filename"
1999,"EN","1999 Budget Speech by Tun Mahathir.pdf"
2000,"BM","Ucapan Bajet Tahun 2000.pdf"
2001,"EN","Budget_Speech_2001.pdf"
2002,"BM","Ucapan Bajet Tahun 2002.pdf"
2003,"EN","00525_2003 Budget Speech.pdf"
2004,"BM","Ucapan Bajet Tahun 2004 (1).pdf"
2005,"EN","Budget_Speech_2005 (1).pdf"
2006,"BM","Teks2006.pdf"
2007,"BM","ucapan-bajet-2007.pdf"
2008,"BM","Teks2008.pdf"
2009,"BM","AAB-29-08-2008b.pdf"
2010,"EN","bs10.pdf"
2011,"EN","bs11.pdf"
2012,"BM","ucapan-bajet-2012.pdf"
2013,"EN","teks_ucapan_bajet_2013_BI.pdf"
2014,"EN","bs14.pdf"
2015,"BM","ub15.pdf"
2016,"EN","bs16.pdf"
2017,"EN","bs17.pdf"
2018,"EN","bs18.pdf"
2019,"EN","bs19.pdf"
2020,"EN","bs20.pdf"
2021,"EN","bs21.pdf"
2022,"EN","bs22.pdf"
2023,"EN","ub23-BI.pdf"
2024,"EN","ub24-BI.pdf"
2025,"EN","ub25-en.pdf"
